default,Identifier,Remarks,hu,it,es esm
OPL Emulator Core,ADVSNDMNU_OPLCORES,,,,Núcleo de emulador OPL
MIDI voices,ADVSNDMNU_MIDIVOICES,,Voci MIDI,Voci MIDI,Voces MIDI
FluidSynth,ADVSNDMNU_FLUIDSYNTH,,,,
Global,ADVSNDMNU_GLOBAL,,Globale,Globale,
Freeverb,ADVSNDMNU_FREEVERB,,,,
Global Freeverb,ADVSNDMNU_GLOBAL_FREEVERB,,Freeverb globale,Freeverb globale,Freeverb Global
Patch set,ADVSNDMNU_FLUIDPATCHSET,,,,Set de parche
Gain,ADVSNDMNU_FLUIDGAIN,,,,Ganancia
Reverb,ADVSNDMNU_REVERB,,,,Reverberación
Reverb Level,ADVSNDMNU_REVERB_LEVEL,,,,Nivel de reverberación
Chorus,ADVSNDMNU_CHORUS,,,,
Timidity++,ADVSNDMNU_TIMIDITY,,,,
ADLMidi,ADVSNDMNU_ADLMIDI,,,,
OPNMidi,ADVSNDMNU_OPNMIDI,,,,
Timidity config file,ADVSNDMNU_TIMIDITYCONFIG,,File configurazione Timidity,File configurazione Timidity,Ruta al archivo config. Timidity
Relative volume,ADVSNDMNU_TIMIDITYVOLUME,,Volume relativo,Volume relativo,Volumen relativo
WildMidi,ADVSNDMNU_WILDMIDI,,,,
WildMidi config file,ADVSNDMNU_WILDMIDICONFIG,,File WildMidi config,File WildMidi config,Archivo de config. WildMidi
Select configuration,ADVSNDMNU_SELCONFIG,,Seleziona la configurazione,Seleziona la configurazione,Seleccionar configuración
Advanced Resampling,ADVSNDMNU_ADVRESAMPLING,,Resampling avanzato,Resampling avanzato,Resampleo avanzado
OPL Bank,ADVSNDMNU_OPLBANK,,,,Banco OPL
OPL Emulator Core,ADVSNDMNU_ADLOPLCORES,,,,Núcleos de emulador OPL
Run emulator at PCM rate,ADVSNDMNU_RUNPCMRATE,,Esegui l'emulatore con rate PCM,Esegui l'emulatore con rate PCM,Ejecutar emulador a velocidad PCM
Number of emulated OPL chips,ADVSNDMNU_ADLNUMCHIPS,,Numero di chip OPL emulati,Numero di chip OPL emulati,Número de chips OPL emulados
Volume model,ADVSNDMNU_VLMODEL,,Modello di volume,Modello di volume,Modelo de volumen
OPN2 Emulator Core,ADVSNDMNU_OPNCORES,,,,Núcleo de emulador OPN2
GUS Emulation,ADVSNDMNU_GUSEMULATION,,,,Emulación GUS
GUS config file,ADVSNDMNU_GUSCONFIG,,File GUS config,File GUS config,Archivo de config. GUS
Read DMXGUS lumps,ADVSNDMNU_DMXGUS,,Leggi i lump DMXGUS,Leggi i lump DMXGUS,Leer archivos DMXGUS
GUS memory size,ADVSNDMNU_GUSMEMSIZE,,Dimensione della memoria per GUS,Dimensione della memoria per GUS,Tamaño de memoria de GUS
Number of emulated OPN chips,ADVSNDMNU_OPNNUMCHIPS,,Numero di chip OPN emulati,Numero di chip OPN emulati,Número de chip OPN emulados
Use custom WOPL bank,ADVSNDMNU_ADLCUSTOMBANK,,Usa WOPL bank personalizzato,Usa WOPL bank personalizzato,Utilizar banco WOPL personalizado
WOPL Bank file,ADVSNDMNU_OPLBANKFILE,,File WOPL Bank,File WOPL Bank,Archivo de banco WOPL
Use custom WOPN bank,ADVSNDMNU_OPNCUSTOMBANK,,Usa WOPN bank personalizzato,Usa WOPN bank personalizzato,Utilizar banco WOPN personalizado
WOPN Bank file,ADVSNDMNU_OPNBANKFILE,,File WOPN Bank,File WOPN Bank,Archivo de banco WOPN
Aliasing,OPTVAL_ALIASING,,,,
Linear,OPTVAL_LINEAR_1,,Lineare,Lineare,Lineal
Linear,OPTVAL_LINEAR_2,,Lineare,Lineare,Lineal
Linear,OPTVAL_LINEAR_3,,Lineare,Lineare,Lineal
Nearest,OPTVAL_NEAREST,,Il più vicino,Il più vicino,Cercano
PCF (Low),OPTVAL_PCF_LOW,,PCF (basso),PCF (basso),PCF (Bajo)
PCF (Medium),OPTVAL_PCF_MEDIUM,,PCF (medio),PCF (medio),PCF (Medio)
PCF (High),OPTVAL_PCF_HIGH,,PCF (alto),PCF (alto),PCF (Alto)
Cubic,OPTVAL_CUBIC,,Cubico,Cubico,Cúbico
Band-limited step,OPTVAL_BLEP,,Passo limitato dalla banda,Passo limitato dalla banda,Paso limitado por banda
Linear (Slower),OPTVAL_LINEARSLOW,,Lineare (più lento),Lineare (più lento),Lineal (más lento)
Band-limited linear,OPTVAL_BLAM,,Lineare limitato dalla banda,Lineare limitato dalla banda,Lineal limitado por banda
Cubic (Slower),OPTVAL_CUBICSLOW,,Cubico (più lento),Cubico (più lento),Cúbico (más lento)
Sinc,OPTVAL_SINC,,,,Seno cardinal
Note on/off only,OPTVAL_NOTEONOFFONLY,,Note solamente ON/OFF,Note solamente ON/OFF,Solo notas de Activ./Desact.
Full ramping,OPTVAL_FULLRAMPING,,Ramping completo,Ramping completo,Aumento completo
,,,,,
Quality,MODMNU_QUALITY,,Qualità,Qualità,Calidad
Volume ramping,MODMNU_VOLUMERAMPING,,Ramping volume,Ramping volume,Aumento gradual de Volumen
Chip-o-matic,MODMNU_CHIPOMATIC,,,,
MAME OPL2,OPTVAL_MAMEOPL2,,,,
DOSBox OPL3,OPTVAL_DOSBOXOPL3,,,,
Java OPL3,OPTVAL_JAVAOPL3,,,,
Nuked OPL3,OPTVAL_NUKEDOPL3,,,,
MAME YM2612,OPTVAL_MAMEOPN2,,,,
Neko Project II Kai OPNA,OPTVAL_NP2OPNA,,,,
MAME YM2608,OPTVAL_MAMEOPNA,,,,
PMDWin OPNA,OPTVAL_PMDWINOPNA,,,,
Opal OPL3,OPTVAL_OPALOPL3,,,,
Nuked OPL3 v1.7.4,OPTVAL_NUKEDOPL3174,,,,
Nuked OPN2,OPTVAL_NUKEDOPN2,,,,
GENS YM2612,OPTVAL_GENSOPN2,,,,
Auto (Use setup of bank),ADLVLMODEL_AUTO,,Automatico (Usa le impostazioni del bank),Automatico (Usa le impostazioni del bank),Auto (Usar config. del banco)
Generic,ADLVLMODEL_GENERIC,,Generico,Generico,Genérico
OPL Native,ADLVLMODEL_NATIVE,,,,Nativo OPL
"DMX (Accurate, with AM bug)",ADLVLMODEL_DMX,,,,
"Apogee (Accurate, with AM bug)",ADLVLMODEL_APOGEE,,,,
Win9X-like (SB16),ADLVLMODEL_WIN9X,,,,Como Win9X (SB16)
Win9X-like (Generic FM),ADLVLMODEL_WIN9XGENERIC,,,,Como Win9X (Generic FM)
DMX (Without AM voice bug),ADLVLMODEL_DMX_FIXED,,,,DMX (Sin bug de voz AM)
Apogee (Without AM voice bug),ADLVLMODEL_APOGEE_FIXED,,,,Apogee (Sin bug de voz AM)
IBM Audio Library Interface,ADLVLMODEL_AIL,,,,
HMI Sound Operating System,ADLVLMODEL_HMI,,,,
"HMI SOS (Old, with bugs)",ADLVLMODEL_HMIOLD,,,,"HMI SOS (Viejo, con bugs)"
Unlimited,OPTVAL_UNLIMITED,,Illimitato,Illimitato,Ilimitado
256K,OPTVAL_256K,,,,
512K,OPTVAL_512K,,,,
768K,OPTVAL_768K,,,,
1024K,OPTVAL_1024K,,,,
,,,,,
Uncharted 2,OPTVAL_UNCHARTED2,,,,
Hejl Dawson,OPTVAL_HEJLDAWSON,,,,
Reinhard,OPTVAL_REINHARD,,,,
Palette,OPTVAL_PALETTE,,Palette,Palette,Paleta
Low,OPTVAL_LOW,,Basso,Basso,Bajo
Medium,OPTVAL_MEDIUM,,Medio,Medio,Medio
High,OPTVAL_HIGH,,Alto,Alto,Alto
Extreme,OPTVAL_EXTREME,,Estremo,Estremo,Extremo
Obverse,OPTVAL_OBVERSEFIRST,,Dritto,Dritto,Anverso
Reverse,OPTVAL_REVERSEFIRST,,Contrario,Contrario,Inverso
Postprocessing,GLMNU_POSTPROCESS,,,,Postprocesado
Tonemap Mode,GLPREFMNU_TONEMAP,,Modalità Tonemap,Modalità Tonemap,Modo de mapa de tonos
Lens distortion effect,GLPREFMNU_LENS,,Effetto distorsione della lente,Effetto distorsione della lente,Efecto de distorsión de lente
,,,,,Calidad FXAA
Dither output,GLPREFMNU_DITHER,,Dithering,Dithering,Dither de salida
Tonemap Palette Order,GLPREFMNU_PALTONEMAPORDER,,Ordine della Palette Tonemap,Ordine della Palette Tonemap,Orden de la paleta en mapa de tonos
Tonemap Palette Exponent,GLPREFMNU_PALTONEMAPPOWER,,Esponente della Palette Tonemap,Esponente della Palette Tonemap,Exponente paleta en mapa de tonos
,,,,,Multisampling
,,,,,Efecto Bloom
Ambient occlusion quality,GLPREFMNU_SSAO,,Qualità occlusione ambientale,Qualità occlusione ambientale,Calidad de oclusión ambiental
Portals with AO,GLPREFMNU_SSAO_PORTALS,,Portali con l'OA,Portali con l'OA,Portales con OA
Menu Blur,GLPREFMNU_MENUBLUR,,Blur del menu,Blur del menu,Difuminación de menú
Environment map on mirrors,GLPREFMNU_ENVIRONMENTMAPMIRROR,,Ambiente mappa sugli specchi,Ambiente mappa sugli specchi,Mapa de entorno en espejos
,,,,,Calidad de renderizado
Speed,OPTVAL_SPEED,,Prestazioni,Prestazioni,Velocidad
Quality,OPTVAL_QUALITY,,Qualità,Qualità,Calidad
Sector light mode,GLPREFMNU_SECLIGHTMODE,,Modalità luce di settore,Modalità luce di settore,Modo de luz de sector
,,,,,Modo de niebla
Radial,OPTVAL_RADIAL,,Radiale,Radiale,
Standard,OPTVAL_STANDARD,,,,Estándar
,,,,,
,,,,,
,,,,,
None (nearest mipmap),OPTVAL_NONENEARESTMIPMAP,,Nessuno (mipmap più vicina),Nessuno (mipmap più vicina),Ninguno (mipmap cercano)
None (linear mipmap),OPTVAL_NONELINEARMIPMAP,,Nessuno (mipmap lineare),Nessuno (mipmap lineare),Ninguno (mipmap lineal)
None (trilinear),OPTVAL_NONETRILINEAR,,Nessuno (mipmap trilineare),Nessuno (mipmap trilineare),Ninguno (trilineal)
Bilinear,OPTVAL_BILINEAR,,Bilineare,Bilineare,Bilineal
Trilinear,OPTVAL_TRILINEAR,,Trilineare,Trilineare,Trilineal
2x,OPTVAL_2X,,,,
4x,OPTVAL_4X,,,,
8x,OPTVAL_8X,,,,
16x,OPTVAL_16X,,,,
32x,OPTVAL_32X,,,,
Texture Options,GLTEXMNU_TITLE,,Opzioni Texture,Opzioni Texture,Opciones de texturas
Textures enabled,GLTEXMNU_TEXENABLED,,Texture abilitate,Texture abilitate,Texturas activadas
Enable hires textures,GLTEXMNU_ENABLEHIRES,,Abilita texture alta qualità,Abilita texture alta qualità,Activar texturas de alta resolución
High Quality Resize mode,GLTEXMNU_HQRESIZE,,Modalità resize alta qualità,Modalità resize alta qualità,Modo de ajuste de alta calidad
High Quality Resize multiplier,GLTEXMNU_HQRESIZEMULT,,Moltiplicatore resize alta qualità,Moltiplicatore resize alta qualità,Multiplicador de ajuste de alta calidad
This mode requires %d times more video memory,GLTEXMNU_HQRESIZEWARN,,"gia' che l gioco gira demmerda, attiva anche sta stronzata, bravo!",Questa modalità richiede %d volte la memoria video,Este modo requiere %d veces más memoria de vídeo
Resize textures,GLTEXMNU_RESIZETEX,,Resize delle texture,Resize delle texture,Ajustar texturas
Resize sprites,GLTEXMNU_RESIZESPR,,Resize degli sprite,Resize degli sprite,Ajustar sprites
Resize fonts,GLTEXMNU_RESIZEFNT,,Resize dei font,Resize dei font,Ajustar fuentes
Resize model skins,GLTEXMNU_RESIZESKN,,Ridimensiona skin modello,Ridimensiona skin modello,Ajustar texturas de modelo
Precache GL textures,GLTEXMNU_PRECACHETEX,,Precache texture GL,Precache texture GL,Precaché de texturas GL
Video Mode,VIDMNU_TITLE,,Modalità video,Modalità video,Modos de vídeo
Scaled (Nearest),OPTVAL_SCALENEAREST,,Scalato (più vicino),Scalato (più vicino),Escalado (Lo más cerca)
Scaled (Linear),OPTVAL_SCALELINEAR,,Scalato (lineare),Scalato (lineare),Escalado (Lineal)
Letterbox,OPTVAL_LETTERBOX,,Bande nere,Bande nere,Barras negras
Stretch,OPTVAL_STRETCH,,Disteso,Disteso,Estrechado
Render Mode,VIDMNU_RENDERMODE,,Modalità rendering,Modalità rendering,Modo de renderizado
,,,,,
Retina/HiDPI support,VIDMNU_HIDPI,,Supporto Retina/HiDPi,Supporto Retina/HiDPi,Soporte para Retina/HiDPI
Aspect ratio,VIDMNU_ASPECTRATIO,,Proporzioni,Proporzioni,Relación de aspecto
Force aspect ratio,VIDMNU_FORCEASPECT,,Forza le proporzioni video,Forza le proporzioni video,Forzar relación de aspecto
Forced ratio style,VIDMNU_CROPASPECT,,Forza lo stile delle proporzioni,Forza lo stile delle proporzioni,Relación de aspecto forzada
Enable 5:4 aspect ratio,VIDMNU_5X4ASPECTRATIO,,Abilita le proporzioni 5:4,Abilita le proporzioni 5:4,Activar relación de aspecto 5:4
Resolution scale,VIDMNU_SCALEMODE,,Scala di risoluzione,Scala di risoluzione,Escala de resolución
,,,,,Factor de escala
Use Linear Scaling (Fullscreen),VIDMNU_USELINEAR,,Usa lo scaling lineare (a schermo pieno),Usa lo scaling lineare (a schermo pieno),Usar escalado linear (Pant. completa)
Custom Pixel Scaling,VIDMNU_CUSTOMRES,,Scaling dei pixel personalizzato,Scaling dei pixel personalizzato,Escalado de píxel personalizado
,,,,,Ancho personalizado
,,,,,Alto personalizado
,,,,,Aplicar cambios (Ventana)
,,,,,Aplicar cambios (Pant. completa)
,,,,,Elegir resolución predefinida
Custom Resolution Presets,VIDMNU_RESPRESETTTL,,Preset di risoluzione personalizzati,Preset di risoluzione personalizzati,Resoluciones predefinidas personalizadas
Preset Resolution Modes,VIDMNU_RESPRESETHEAD,,Modalità preset di risoluzione,Modalità preset di risoluzione,Modos de resolución predefinida
4:3 Aspect,VIDMNU_ASPECT43,,Aspetto 4:3,Aspetto 4:3,Aspecto 4:3
5:4 Aspect,VIDMNU_ASPECT54,,Aspetto 5:4,Aspetto 5:4,Aspecto 5:4
16:9 Aspect,VIDMNU_ASPECT169,,Aspetto 16:9,Aspetto 16:9,Aspecto 16:9
16:10 Aspect,VIDMNU_ASPECT1610,,Aspetto 16:10,Aspetto 16:10,Aspecto 16:10
21:9 Aspect,VIDMNU_ASPECT219,,Aspetto 21:9,Aspetto 21:9,Aspecto 21:9
Normal,OPTVAL_NORMAL,,Normale,Normale,
Lowest Possible Scale,OPTVAL_LOWEST,,Scala minima,Scala minima,Menor escala posible
Custom,OPTVAL_CUSTOM,,Personalizzato,Personalizzato,Personalizado
,,,,,
60 fps,OPTVAL_60FPS,,,,
75 fps,OPTVAL_75FPS,,,,
90 fps,OPTVAL_90FPS,,,,
120 fps,OPTVAL_120FPS,,,,
144 fps,OPTVAL_144FPS,,,,
200 fps,OPTVAL_200FPS,,,,
Preferred Rendering API,VIDMNU_PREFERBACKEND,,API di rendering preferita,API di rendering preferita,API de renderizado preferida
OpenGL,OPTVAL_OPENGL,,,,
Vulkan,OPTVAL_VULKAN,,,,
OpenGL ES,OPTVAL_OPENGLES,,,,
,,,,,
Merge left+right Alt/Ctrl/Shift,MISCMNU_MERGEKEYS,,Unisci sinistra+destra Alt/Control/Maiusc,Unisci sinistra+destra Alt/Control/Maiusc,Combinar Alt/Ctrl/Mayús izq. y der.
Alt-Enter toggles fullscreen,MISCMNU_WINFULLSCREENTOGGLE,,Alt-Invio attiva/disattiva lo schermo pieno,Alt-Invio attiva/disattiva lo schermo pieno,Alt+Enter alterna pantalla completa
Command-F toggles fullscreen,MISCMNU_MACFULLSCREENTOGGLE,,Command-F attiva/disattiva lo schermo pieno,Command-F attiva/disattiva lo schermo pieno,Cmd-F alterna pantalla completa
Enable autosaves,MISCMNU_ENABLEAUTOSAVES,,Abilita i salvataggi automatici,Abilita i salvataggi automatici,Activar autoguardado
Number of autosaves,MISCMNU_AUTOSAVECOUNT,,Numero di salvataggi automatici,Numero di salvataggi automatici,Cantidad máxima de autoguardados
Save/Load confirmation,MISCMNU_SAVELOADCONFIRMATION,,Conferma Salvataggio/Caricamento,Conferma Salvataggio/Caricamento,Confirmación al guardar/cargar
Disable keyboard cheats,MISCMNU_NOCHEATS,,Disabilita i trucchi classici,Disabilita i trucchi classici,Desactivar trucos por teclado
Quicksave rotation,MISCMNU_QUICKSAVEROTATION,,Rotazione del quicksave,Rotazione del quicksave,Rotación al hacer un guardado rápido
Number of quicksaves in rotation,MISCMNU_QUICKSAVECOUNT,,Numero di quicksave in rotazione,Numero di quicksave in rotazione,Cantidad de guardados rápidos en rotación
Disable Menu Clean Scaling,MISCMNU_CLEANMENU,,Disabilita il fattore di scala pulito del menu,Disabilita il fattore di scala pulito del menu,El menú principal ocupa toda la pantalla
Pause game in background,MISCMNU_PAUSEINBACKGROUND,,Pausa il gioco in background,Pausa il gioco in background,Pausar el juego en segundo plano
,,,,,
Crosshair color,HUDMNU_CROSSHAIRCOLOR,,Colore mirino,Colore mirino,Color de la retícula
Crosshair shows health,HUDMNU_CROSSHAIRHEALTH,,Il mirino mostra la salute,Il mirino mostra la salute,Mostrar salud en retícula
Scale crosshair,HUDMNU_CROSSHAIRSCALE,,Fattore di scala del mirino,Fattore di scala del mirino,Escalar retícula
Standard,OPTVAL_YES_STANDARD,,,,Estándar
Enhanced,OPTVAL_YES_ENHANCED,,Migliorata,Migliorata,Mejorado
,,,,,
,,,,,
Undo Changes,TXT_UNDOCHANGES,,Revocare le modifiche,Revocare le modifiche,Anular cambios
Select Environment,REVMNU_SELECT,,Seleziona ambiente,Seleziona ambiente,Seleccionar ambiente
Test Environment,REVMNU_TEST,,Testa ambiente,Testa ambiente,Probar ambiente
Edit Environment,REVMNU_EDIT,,Modifica ambiente,Modifica ambiente,Editar ambiente
New Environment,REVMNU_NEW,,Nuovo ambiente,Nuovo ambiente,Nuevo ambiente
Revert settings,REVMNU_REVERT,,Ripristina le impostazioni,Ripristina le impostazioni,Revertir configuración
Environment Size,REVMNU_ENVIRONMENT_SIZE,,Dimensioni dell'ambiente,Dimensioni dell'ambiente,Tamaño de ambiente
Environment Diffusion,REVMNU_ENVIRONMENT_DIFFUSION,,Diffusione dell'ambiente,Diffusione dell'ambiente,Difusión de ambiente
Room,REVMNU_ROOM,,,,Sala
Room HF,REVMNU_ROOM_HF,,,,Sala (Frecuencia alta)
Room LF,REVMNU_ROOM_LF,,,,Sala (Frecuencia baja)
Decay Time,REVMNU_DECAY_TIME,,,,Tiempo de decadencia
Decay HF Ratio,REVMNU_DECAY_HF_RATIO,,,,Ratio de decadencia (Frecuencia alta)
Decay LF Ratio,REVMNU_DECAY_LF_RATIO,,,,Ratio de decadencia (Frecuencia baja)
Reflections,REVMNU_REFLECTIONS,,,,Reflejos
Reflections Delay,REVMNU_REFLECTIONS_DELAY,,,,Retraso de reflejos
Reflections Pan X,REVMNU_REFLECTIONS_PAN_X,,,,Desplazamiento en X de reflejos
Reflections Pan Y,REVMNU_REFLECTIONS_PAN_Y,,,,Desplazamiento en Y de reflejos
Reflections Pan Z,REVMNU_REFLECTIONS_PAN_Z,,,,Desplazamiento en Z de reflejos
Reverb,REVMNU_REVERB,,,,Reverberación
Reverb Delay,REVMNU_REVERB_DELAY,,,,Retraso de reverberación
Reverb Pan X,REVMNU_REVERB_PAN_X,,,,Desplazamiento en X de reverberación
Reverb Pan Y,REVMNU_REVERB_PAN_Y,,,,Desplazamiento en Y de reverberación
Reverb Pan Z,REVMNU_REVERB_PAN_Z,,,,Desplazamiento en Z de reverberación
Echo Time,REVMNU_ECHO_TIME,,,,Tiempo de eco
Echo Depth,REVMNU_ECHO_DEPTH,,,,Profundidad de eco
Modulation Time,REVMNU_MODULATION_TIME,,,,Tiempo de modulación
Modulation Depth,REVMNU_MODULATION_DEPTH,,,,Profundidad de modulación
Air Absorption HF,REVMNU_AIR_ABSORPTION_HF,,,,Absorción en aire de frecuencia alta
HF Reference,REVMNU_HF_REFERENCE,,,,Referencia de frecuencia alta
LF Reference,REVMNU_LF_REFERENCE,,,,Referencia de frecuencia baja
Room Rolloff Factor,REVMNU_ROOM_ROLLOFF_FACTOR,,,,Factor de Roll-off de sala
Diffusion,REVMNU_DIFFUSION,,,,Difusión
Density,REVMNU_DENSITY,,,,Densidad
Reflections Scale,REVMNU_Reflections_Scale,,,,Escala de reflejos
Reflections Delay Scale,REVMNU_Reflections_Delay_Scale,,,,Escala de retraso de reflejos
Decay Time Scale,REVMNU_Decay_Time_Scale,,,,Escala de tiempo de decadencia
Decay HF Limit,REVMNU_Decay_HF_Limit,,,,Limite de decadencia de alta frecuencia
Reverb Scale,REVMNU_Reverb_Scale,,,,Escala de reverberación
Reverb Delay Scale,REVMNU_Reverb_Delay_Scale,,,,Escala de retraso de reverberación
Echo Time Scale,REVMNU_Echo_Time_Scale,,,,Escala de tiempo de eco
Modulation Time Scale,REVMNU_Modulation_Time_Scale,,,,Escala de tiempo de modulación
Based on,REVMNU_Based_on,,Basato su,Basato su,Basado en
Name,REVMNU_Name,,Nome,Nome,Nombre
ID #1,REVMNU_ID_1,,ID N°1,ID N°1,ID Nº1
ID #2,REVMNU_ID_2,,ID N°2,ID N°2,ID Nº2
Create,REVMNU_Create,,Creare,Creare,Crear
Save...,REVMNU_Save,,Salvare...,Salvare...,Guardar...
File name,REVMNU_File_name,,Nome del file,Nome del file,Nombre de archivo
Environments to save,REVMNU_Environments_to_save,,Ambienti da salvare,Ambienti da salvare,Ambientes para guardar
,,,,,
Vulkan Options (Experimental),DSPLYMNU_VKOPT,,Opzioni Vulkan (Sperimentale),Opzioni Vulkan (Sperimentale),Opciones de Vulkan (Experimental)
Vulkan Options,VK_TITLE,,Opzioni Vulkan,Opzioni Vulkan,Opciones de Vulkan
Enable Vulkan,VKMNU_ENABLE,,Abilita Vulkan,Abilita Vulkan,Activar Vulkan
Vulkan Device ID,VKMNU_DEVICE,,Dispositivo ID Vulkan,Dispositivo ID Vulkan,ID de dispositivo Vulkan
High Dynamic Range,VKMNU_HDR,,,,Alto rango dinámico
Warning: The Vulkan renderer is highly experimental!,VK_WARNING,,Attenzione: GZDOOM fa cagare!,Attenzione: il motore grafico Vulkan è altamente sperimentale!,Advertencia: ¡El renderizado por Vulkan es altamente experimental!
These options will require a restart to take effect.,VK_RESTART,,Devi riavvia' l computer se vuoi farlo gira' meglio,Queste opzioni richiedono il riavvio per avere effetto.,Estas opciones requieren reiniciar para tener efecto.
Select Vulkan Device,VKMNU_DEVICESELECT,,Seleziona il Dispositivo Vulkan,Seleziona il Dispositivo Vulkan,Seleccionar dispositivo Vulkan
,,,,,
ScaleNx,OPTVAL_SCALENX,,,,
NormalNx,OPTVAL_NORMALNX,,,,
hqNx,OPTVAL_HQNX,,,,
hqNx MMX,OPTVAL_HQNXMMX,,,,
xBRZ,OPTVAL_NXBRZ,,,,
Old xBRZ,OPTVAL_OLD_NXBRZ,,Vecchio xBRZ,Vecchio xBRZ,Antiguo xBRZ
,,,,,
Option Search,OS_TITLE,,Opzioni di ricerca,Opzioni di ricerca,Buscar opciones
Search for any term,OS_ANY,,Cerca per ciascun termine,Cerca per ciascun termine,Buscar cualquier término
Search for all terms,OS_ALL,,Cerca per tutti i termini,Cerca per tutti i termini,Buscar todos los términos
No results found.,OS_NO_RESULTS,,Nessun risultato trovato.,Nessun risultato trovato.,Ningún resultado.
Search:,OS_LABEL,,Trova:,Trova:,Buscar:
,,,,,
%k boned %o like a fish,TXT_OBITUARY1,,%k ha dissossato %o come un pesce,%k ha dissossato %o come un pesce,%k ha deshuesado a %o como a un pescado
%k castrated %o,TXT_OBITUARY2,,%k ha castrato %o,%k ha castrato %o,%k ha castrado a %o
%k creamed %o,TXT_OBITUARY3,,%k ha cremato %o,%k ha cremato %o,%k ha cremado a %o
%k decimated %o,TXT_OBITUARY4,,%k ha decimato %o,%k ha decimato %o,%k ha diezmado a %o
%k destroyed %o,TXT_OBITUARY5,,%k ha distrutto %o,%k ha distrutto %o,%k ha destruido a %o
%k diced %o,TXT_OBITUARY6,,%k ha tagliato a cubetti %o,%k ha tagliato a cubetti %o,%k ha picado en cubitos a %o
%k disembowled %o,TXT_OBITUARY7,,%k ha smembrato %o,%k ha smembrato %o,%k ha destripado a %o
%k flattened %o,TXT_OBITUARY8,,%k ha schiacciato %o,%k ha schiacciato %o,%k ha aplanado a %o
%k gave %o Anal Justice,TXT_OBITUARY9,,%k ha dato a %o Giustizia Anale,%k ha dato a %o Giustizia Anale,%k le ha dado justicia anal a %o
